,Customer_name,Description,Material Group,Invoice_Quantity,Unit_Weight(Grams),Part_Size,Net_Weight(KG),Sales_Amount_(INR),Material_Cost,Sales_Person,Sub_Group,Sub_Group_Description,clusters,Clus_kmeans,sil_width
0,M/S RAJESH ENTERPRISES,HHB M20X100 GR 10.9 BLACK*,HEX HEAD,23000,299.2,Extra Heavy,6881.6,1092270,1077320,JYOTI KAWATRA,HEX HEAD,ALLOY STEEL,6,1,0.47674984
1,M/S RAJESH ENTERPRISES,HEX NUT M20X2.5 GR10*,NUT,90340,64.59995572,Heavy,5835.96,996450.2,752532.2,JYOTI KAWATRA,NUT,ALLOY STEEL,7,1,0.482170827
2,M/S RAJESH ENTERPRISES,HEX NUT M20X2.5 GR10*,NUT,67615,64.60001479,Heavy,4367.93,745793.45,563232.95,JYOTI KAWATRA,NUT,ALLOY STEEL,3,1,0.572104028
3,M/S RAJESH ENTERPRISES,HEX NUT M20X2.5 GR10*,NUT,60000,64.6,Heavy,3876,661800,499800,JYOTI KAWATRA,NUT,ALLOY STEEL,4,1,0.501921998
4,LPS BOSSARD PVT LTD,M6 X 16 SHCS (B16) Zn PHOSP*,SHCS,213500,5.750023419,Extra Light,1227.63,617015,508130,Anurag Sharma,SHCS,ALLOY STEEL,5,4,0
5,M/S RAJESH ENTERPRISES,HEX NUT M20X2.5 GR10*,NUT,50000,64.6,Heavy,3230,551500,416500,JYOTI KAWATRA,NUT,ALLOY STEEL,1,1,0.240336718
6,M/S RAJESH ENTERPRISES,HHB M20X100 GR 10.9 BLACK*,HEX HEAD,11539,299.200104,Extra Heavy,3452.47,547987.11,540486.76,JYOTI KAWATRA,HEX HEAD,ALLOY STEEL,2,1,0.222119512
7,M/S RAJESH ENTERPRISES,CSK M24X140 12.9 F/T BLACK*,CSK,2500,480,Extra Heavy,1200,491895,194025,JYOTI KAWATRA,CSK,ALLOY STEEL,21,3,0.302656429
8,NAV BHARAT SUPPLY STORE,CSK M24X110 12.9 F/T BLACK*,CSK,2500,375,Extra Heavy,937.5,404750,151575,JYOTI KAWATRA,CSK,ALLOY STEEL,20,3,0.331821813
9,M/S RAJESH ENTERPRISES,HHB M20X80 GR 10.9 BLACK*,HEX HEAD,9000,250.7,Extra Heavy,2256.3,377730,359190,JYOTI KAWATRA,HEX HEAD,ALLOY STEEL,24,3,0.299448671
10,ECOPPIA SCIENTIFIC LLP,SB D10 x 70 A4 (SS 316) (f9)*,SH. BOLT,4040,57.43069307,Heavy,232.02,355520,125159.2,JYOTI KAWATRA,ISO 7379,STAINLESS STEEL,20,3,0.25261423
11,NAV BHARAT SUPPLY STORE,CSK M24X110 12.9 F/T BLACK*,CSK,2100,375,Extra Heavy,787.5,340200,127323,JYOTI KAWATRA,CSK,ALLOY STEEL,20,3,0.325457201
12,LUBRO AIR ENGINEER,M16 WASHER ISO:7089*,SPL,97990,11.30003062,Medium,1107.29,319447.4,249874.5,JYOTI KAWATRA,WASHER,ALLOY STEEL,23,3,0.176681016
13,M/S RAJESH ENTERPRISES,HHB M30X180 GR 10.9 BLACK*,HEX HEAD,1000,1184.1,Extra Heavy,1184.1,280110,239060,JYOTI KAWATRA,HEX HEAD,ALLOY STEEL,22,3,0.18287396
14,CARLISLE TRADING AND MANUFACTURING,"3/4""-10UNRCx1.75"" HHS GR-8 Zn PLT*",SPL,5000,153.54,Extra Heavy,767.7,278050,140500,Rakesh Nehra,HEX HEAD,ALLOY STEEL,18,3,0.365226773
15,M/S RAJESH ENTERPRISES,HEX NUT M20X2.5 GR10*,NUT,25000,64.6,Heavy,1615,275750,208250,JYOTI KAWATRA,NUT,ALLOY STEEL,22,3,0.37218132
